"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"Paxbp1",4,7,96,4,9,31,50,8,123,47,22,27,29,10,1,26
"Pbdc1",38,30,307,17,46,124,299,34,569,212,108,108,117,34,22,192
"Pbk",10,13,40,3,19,37,37,1,192,36,37,27,40,23,13,57
"Pbld1",0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
"Pbld2",0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0
"Pbp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pbx1",83,28,323,0,3,63,221,35,882,194,171,76,56,1,1,4
"Pbx2",30,7,99,1,12,39,73,14,172,62,29,45,59,7,2,33
"Pbx3",24,18,134,0,3,38,122,13,342,83,72,41,27,3,3,35
"Pbx4",4,0,7,0,0,1,6,0,7,4,1,1,0,0,0,0
"Pbxip1",4,2,21,2,4,3,9,2,16,9,1,5,7,8,2,4
"Pcbd1",7,0,25,1,40,1,18,0,12,11,5,27,7,2,2,9
"Pcbd2",10,3,19,1,2,13,24,9,49,20,11,7,20,1,0,14
"Pcbp1",205,154,1504,62,132,364,1063,123,2477,875,474,555,525,144,48,486
"Pcbp2",397,208,1574,81,155,531,1328,198,3380,1120,706,736,582,180,95,728
"Pcbp3",3,2,19,0,0,5,13,1,31,14,10,9,2,0,2,1
"Pcbp4",32,31,326,4,26,112,202,28,543,154,108,120,117,7,9,108
"Pcca",5,4,45,2,8,12,42,5,66,31,16,25,7,4,0,10
"Pccb",13,3,37,3,9,6,30,4,64,16,13,15,15,1,5,22
"Pcdh1",0,1,44,1,8,2,25,0,13,11,1,4,2,0,2,14
"Pcdh10",1,0,11,0,0,0,3,2,5,2,1,1,0,0,0,0
"Pcdh11x",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pcdh12",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"Pcdh17",0,0,4,0,0,0,0,0,26,1,1,0,0,0,0,0
"Pcdh18",0,16,32,0,0,53,16,4,193,29,46,18,107,0,1,0
"Pcdh19",1,7,8,1,3,13,4,6,449,15,103,2,4,0,0,5
"Pcdh20",0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1
"Pcdh7",15,11,10,0,0,32,9,10,313,24,37,49,41,0,0,1
"Pcdh8",2,4,15,0,0,0,14,5,296,12,42,7,0,0,0,0
"Pcdh9",0,0,6,0,0,0,3,0,4,5,0,0,0,0,0,0
"Pcdhb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb22",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pcdhb3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pcdhb4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdhb9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pced1a",2,1,24,1,0,9,21,2,39,15,16,4,6,1,0,4
"Pced1b",2,1,22,0,7,5,42,0,33,13,13,12,13,5,2,10
"Pcgf1",3,0,15,1,0,1,15,3,30,17,5,3,10,1,1,3
"Pcgf2",20,7,109,2,8,30,71,19,175,45,41,34,27,0,2,31
"Pcgf3",4,4,36,3,6,10,18,3,91,22,20,14,23,12,3,23
"Pcgf5",4,12,15,2,22,30,13,2,103,14,24,4,106,9,6,46
"Pcgf6",25,20,197,9,26,49,145,17,293,117,64,57,48,17,9,79
"Pcid2",5,1,28,1,3,4,16,1,30,11,5,6,4,4,1,11
"Pcif1",8,4,65,1,2,19,40,8,113,30,24,23,24,9,0,21
"Pck1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pck2",15,9,174,0,3,24,129,13,220,79,42,34,46,5,1,12
"Pclo",2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0
"Pcm1",32,16,257,8,20,47,111,16,397,132,74,94,105,19,5,53
"Pcmt1",18,10,100,7,19,40,68,11,198,59,37,48,67,10,6,49
"Pcmtd1",9,1,43,2,0,15,18,2,105,16,19,17,15,3,0,6
"Pcmtd2",10,9,33,0,3,17,27,4,100,27,25,21,15,2,0,5
"Pcnt",21,9,108,5,8,31,42,6,158,35,46,36,35,16,3,45
"Pcnx",1,1,29,1,1,12,16,2,61,15,13,6,15,3,3,13
"Pcnx2",0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
"Pcnx4",7,3,28,5,1,11,24,3,54,18,5,7,15,8,3,26
"Pcolce",1,1,9,0,0,2,10,3,19,3,3,1,16,0,0,0
"Pcolce2",3,3,19,0,0,4,12,1,46,10,17,2,7,0,0,2
"Pcp2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcp4l1",4,0,0,0,0,1,1,1,2,1,1,6,0,0,0,0
"Pcsk1",0,0,1,0,0,0,1,1,0,4,0,0,1,0,0,0
"Pcsk1n",11,1,86,0,2,1,49,3,9,34,1,26,3,3,5,33
"Pcsk2",0,0,15,0,1,0,11,0,2,6,0,0,0,1,0,0
"Pcsk2os1",1,0,13,0,0,0,9,3,1,8,0,0,0,0,0,0
"Pcsk2os2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcsk4",1,0,10,1,1,1,10,1,11,6,0,3,3,0,2,4
"Pcsk5",0,15,2,0,0,27,1,1,101,0,11,1,36,0,0,0
"Pcsk6",3,0,14,0,0,2,8,0,18,9,2,3,6,1,2,61
"Pcsk9",3,0,23,0,1,0,7,0,7,2,0,9,1,0,0,0
"Pctp",3,2,17,0,3,7,20,1,28,16,7,8,8,1,1,3
"Pcx",3,1,16,1,0,2,7,2,9,1,1,7,1,0,1,3
